"id","prediction","predictions"
1024876,1771.80607440223,2470.884765625
1024877,2487.97848742019,4572.67724609375
1024878,1135.41007293857,1761.1591796875
1024879,1800.76263986365,1936.85546875
1024880,1728.39507895234,2370.9423828125
1024881,1145.911823237,1583.76318359375
1024882,1582.64770518393,1900.298828125
1024883,997.712482888057,1444.62341308594
1024884,1167.80164958674,1444.62341308594
1024885,1756.67063147413,1900.298828125
1024886,1196.16135260524,1685.92333984375
1024887,2152.56158536382,3218.22021484375
1024888,4255.8025473774,9289.4580078125
1024889,1539.86812376034,3921.75341796875
1024890,1685.5032044994,2243.5771484375
1024891,1459.72447525887,2104.4375
1024892,2531.54553383648,4363.2001953125
1024893,2652.25911653728,3168.27416992188
1024894,996.574230261926,1527.23803710938
1024895,2236.79540923005,2389.2978515625
1024896,2918.99715686781,2036.99340820312
1024897,1294.16405705821,1982.69702148438
1024898,1599.40786462965,3794.12939453125
1024899,1323.43314014755,1663.02563476562
1024900,2585.16417950248,3828.49877929688
1024901,3144.36450039973,4716.66162109375
1024902,3024.92839238586,7106.76953125
1024903,1467.05753354429,1934.83325195312
1024904,962.504121709439,1629.75646972656
1024905,1898.50117604777,2203.18188476562
1024906,1332.71334349334,1583.76318359375
1024907,3259.14938722488,3376.76904296875
1024908,968.045973719208,1444.62341308594
1024909,1855.47882676674,2280.1337890625
1024910,1012.63538309154,1252.82824707031
1024911,2369.03845557553,2140.44189453125
1024912,1333.12195315102,1664.29089355469
1024913,2796.29016386063,2521.43359375
1024914,1185.0734994455,1958.57580566406
1024915,2329.76897790803,3771.76025390625
1024916,1921.72587283428,1746.90551757812
1024917,1678.80996175712,3723.63525390625
1024918,1374.61837511179,2187.05224609375
1024919,1147.42606441891,1527.23803710938
1024920,2162.58016862307,1933.56787109375
1024921,1138.13731680336,1664.29089355469
1024922,2606.55102760511,3335.978515625
1024923,2411.82971665161,2994.02734375
1024924,1103.34275121617,1934.83325195312
1024925,1086.87916925266,1843.77380371094
1024926,1303.04868025563,1444.62341308594
1024927,1334.41670268006,2918.87158203125
1024928,1447.74998090425,3800.15869140625
1024929,1596.86581787426,1839.98718261719
1024930,1826.73820442857,2060.55224609375
1024931,2644.3301897642,3379.27514648438
1024932,2872.68631350516,3146.46484375
1024933,1859.47913598776,1839.98718261719
1024934,4133.81999092067,19206.50390625
1024935,1648.2631881724,2158.39331054688
1024936,2152.30827407484,2706.10815429688
1024937,2511.00719620649,3244.17578125
1024938,1131.08593074884,1444.62341308594
1024939,2215.62936313214,2033.92260742188
1024940,1218.25342114926,1666.37780761719
1024941,1762.56304664014,3030.84326171875
1024942,1451.39126813095,2377.09008789062
1024943,1264.35892919343,1583.76318359375
1024944,1076.43336746493,1886.04516601562
1024945,1071.6534639548,1746.90551757812
1024946,1614.58916575107,2419.2734375
