"id","prediction","predictions"
1024876,1771.80607440223,1771.80607440223
1024877,2487.97848742019,2487.97848742019
1024878,1135.41007293857,1135.41007293857
1024879,1800.76263986365,1800.76263986365
1024880,1728.39507895234,1728.39507895234
1024881,1145.911823237,1145.911823237
1024882,1582.64770518393,1582.64770518393
1024883,997.712482888057,997.712482888057
1024884,1167.80164958674,1167.80164958674
1024885,1756.67063147413,1756.67063147413
1024886,1196.16135260524,1196.16135260524
1024887,2152.56158536382,2152.56158536382
1024888,4255.8025473774,4255.8025473774
1024889,1539.86812376034,1539.86812376034
1024890,1685.5032044994,1685.5032044994
1024891,1459.72447525887,1459.72447525887
1024892,2531.54553383648,2531.54553383648
1024893,2652.25911653728,2652.25911653728
1024894,996.574230261926,996.574230261926
1024895,2236.79540923005,2236.79540923005
1024896,2918.99715686781,2918.99715686781
1024897,1294.16405705821,1294.16405705821
1024898,1599.40786462965,1599.40786462965
1024899,1323.43314014755,1323.43314014755
1024900,2585.16417950248,2585.16417950248
1024901,3144.36450039973,3144.36450039973
1024902,3024.92839238586,3024.92839238586
1024903,1467.05753354429,1467.05753354429
1024904,962.504121709439,962.504121709439
1024905,1898.50117604777,1898.50117604777
1024906,1332.71334349334,1332.71334349334
1024907,3259.14938722488,3259.14938722488
1024908,968.045973719208,968.045973719208
1024909,1855.47882676674,1855.47882676674
1024910,1012.63538309154,1012.63538309154
1024911,2369.03845557553,2369.03845557553
1024912,1333.12195315102,1333.12195315102
1024913,2796.29016386063,2796.29016386063
1024914,1185.0734994455,1185.0734994455
1024915,2329.76897790803,2329.76897790803
1024916,1921.72587283428,1921.72587283428
1024917,1678.80996175712,1678.80996175712
1024918,1374.61837511179,1374.61837511179
1024919,1147.42606441891,1147.42606441891
1024920,2162.58016862307,2162.58016862307
1024921,1138.13731680336,1138.13731680336
1024922,2606.55102760511,2606.55102760511
1024923,2411.82971665161,2411.82971665161
1024924,1103.34275121617,1103.34275121617
1024925,1086.87916925266,1086.87916925266
1024926,1303.04868025563,1303.04868025563
1024927,1334.41670268006,1334.41670268006
1024928,1447.74998090425,1447.74998090425
1024929,1596.86581787426,1596.86581787426
1024930,1826.73820442857,1826.73820442857
1024931,2644.3301897642,2644.3301897642
1024932,2872.68631350516,2872.68631350516
1024933,1859.47913598776,1859.47913598776
1024934,4133.81999092067,4133.81999092067
1024935,1648.2631881724,1648.2631881724
1024936,2152.30827407484,2152.30827407484
1024937,2511.00719620649,2511.00719620649
1024938,1131.08593074884,1131.08593074884
